,Probability of Belonging to Class 1 (Nebraska)
0,0.017280204
1,0.9999872
2,0.0021087131
3,0.013096116
4,7.644921e-13
5,0.7446198
6,0.00022182189
7,0.03878678
8,0.0004642845
9,0.010623399
10,0.0005170992
11,8.0503035e-09
12,1.922227e-15
13,7.298787e-13
14,1.6188644e-09
15,6.086056e-05
16,0.0110570965
17,0.99999964
18,0.9999955
19,0.99988776
20,0.20695446
21,0.99998677
22,0.9999979
23,0.00473663
24,1.4780154e-05
25,0.5725303
26,0.0011396642
27,0.00049464026
28,0.99977356
29,9.1312795e-05
30,0.020404259
31,0.7420035
32,0.97524506
33,4.3768955e-18
34,9.483354e-08
35,1.5668785e-07
36,0.9999008
37,0.00013257375
38,0.0002840388
39,1.9364827e-06
40,0.25393456
41,4.5689256e-05
42,0.00014677994
43,1.7255423e-12
44,0.9999913
45,0.99989355
46,0.9931349
47,0.99996454
48,7.88136e-06
49,6.671403e-09
50,0.94090474
51,0.00036501334
52,1.3134668e-09
53,0.18005137
54,2.690331e-05
55,4.3982666e-07
56,0.9997074
57,6.327173e-05
58,0.00060860417
59,9.564626e-08
60,0.9238171
61,0.99986464
62,0.99457747
63,0.0009709779
64,0.0019244783
65,9.490566e-06
66,8.666683e-07
67,0.999997
68,1.0250919e-07
69,4.217759e-12
70,7.8690954e-10
71,0.999992
72,1.3339422e-09
73,0.9995623
74,1.1448176e-13
75,4.3473815e-08
76,0.00029137728
77,3.966566e-12
78,0.97720516
79,4.1777652e-09
80,0.007521102
81,0.46519452
82,0.06298171
83,0.00020878372
84,1.659239e-05
85,1.2090433e-06
86,0.00016315264
87,0.005875665
88,3.859502e-05
89,1.5284478e-09
90,0.38344455
91,0.047472328
92,1.0444292e-07
93,5.3047526e-09
94,0.99995303
95,0.033289652
96,8.057034e-12
97,1.82589e-12
98,0.0019162748
99,1.4034951e-07
100,6.621105e-08
101,0.999668
102,0.99927616
103,6.0796574e-06
104,5.6061022e-08
105,5.3395925e-05
106,2.1363851e-07
107,9.2586205e-08
108,1.8606623e-05
109,0.013289573
110,0.00969483
111,0.40759414
112,3.0134294e-07
113,0.95432556
114,1.8008861e-13
115,6.7366797e-09
116,4.2857514e-06
117,5.3222327e-10
118,1.1303182e-06
119,5.213661e-13
120,7.0856994e-11
121,0.9997748
122,0.99999446
123,0.527534
124,0.97226715
125,1.3511395e-09
126,0.0377467
127,9.502612e-06
128,7.360699e-05
129,0.0011534079
130,6.2540654e-05
131,9.64811e-05
132,3.1119596e-06
133,0.9999972
134,2.7263475e-05
135,0.0011181469
136,1.6243946e-06
137,7.902749e-05
138,0.0016082443
139,0.41066372
140,0.14087903
141,0.9399117
142,0.99999166
143,0.23702303
144,0.98278266
145,5.17509e-10
146,7.1683144e-06
147,0.00020035113
148,0.051717713
149,9.075263e-05
150,0.999081
151,7.5966153e-07
152,0.9992721
153,1.1144659e-08
154,3.9471445e-07
155,0.9979144
156,0.9611515
157,0.99994487
158,0.01890248
159,0.8018622
160,6.084684e-11
161,6.043137e-07
162,1.426175e-06
163,0.032321814
164,0.0024431497
165,2.043935e-06
166,3.6509368e-07
167,1.9598314e-09
168,0.0023888007
169,2.7662518e-06
170,4.0234784e-08
171,0.00023307918
172,0.9997641
173,1.9536929e-08
174,0.03577971
175,0.0047994037
176,0.99999684
177,0.001224175
178,0.9329793
179,0.42492428
180,5.4549343e-10
181,0.20913252
182,7.4546615e-06
183,0.0018413943
184,0.0020320767
185,0.9999606
186,0.93716824
187,1.8630595e-07
188,1.1860994e-06
189,0.0016278173
190,0.0006750745
191,0.9011338
192,0.00018135169
193,3.3005845e-11
194,2.812868e-11
195,0.019414578
196,0.04892572
197,0.3739195
198,0.00031265756
199,3.375326e-06
200,3.5711337e-10
201,2.7262826e-05
202,0.9994255
203,0.0010605874
204,3.914273e-07
205,3.2254516e-13
206,1.9108634e-06
207,2.5473959e-05
208,8.303985e-11
209,2.7665212e-07
210,0.00043671826
211,0.0006580464
212,7.9818485e-10
213,0.00029275927
214,0.9999803
215,0.99993813
216,0.009351502
217,0.99989766
218,9.581623e-09
219,1.0560405e-05
220,1.7475923e-11
221,0.00032697618
222,0.29332122
223,0.99958104
224,2.1235152e-05
225,0.00094338687
226,0.0004416769
227,1.8688657e-05
228,1.6311506e-07
229,0.0027976367
230,2.634353e-11
231,0.00031131846
232,0.0002676688
233,1.6104476e-09
234,0.008057867
235,0.0039454144
236,0.00019615852
237,6.85446e-05
238,0.9975516
239,0.025184631
240,7.385707e-10
241,0.36839104
242,0.30008864
243,2.1068804e-06
244,1.4518037e-11
245,0.9945425
246,0.00031424017
247,4.1470485e-09
248,8.376652e-06
249,0.913266
250,0.9984475
251,0.0026426746
252,9.23848e-11
253,0.0006753474
254,0.9942203
255,2.4111807e-07
256,0.33042338
257,0.21438262
258,0.9998164
259,1.02672634e-10
260,6.5130946e-05
261,5.4797852e-05
262,0.9983387
263,0.96558994
264,0.02682548
265,0.29622915
266,1.1939533e-05
267,0.012072744
268,0.7264452
269,1.6876532e-10
270,0.0051330104
271,0.3944187
272,2.4927974e-07
273,3.2433791e-13
274,7.869682e-05
275,0.0017085634
276,0.00035517072
277,0.0019742816
278,8.380651e-05
279,0.010949849
280,2.5314665e-11
281,0.96653754
282,1.45375025e-05
283,0.0032381066
284,0.9087969
285,5.0602906e-05
286,0.0074753864
287,0.0006170607
288,2.230773e-05
289,0.032101396
290,0.08165833
291,0.060664598
292,2.4076128e-06
293,1.5626927e-07
294,1.0652477e-08
295,0.9997874
296,0.9999938
297,5.5409105e-10
298,2.4215279e-09
299,1.2332753e-06
300,4.0842165e-06
301,0.99999774
302,0.0009744407
303,9.827705e-06
304,2.9766445e-09
305,0.01531842
306,0.22253725
307,9.587943e-10
308,6.508019e-08
309,3.9031212e-11
310,0.9931053
311,0.00431645
312,0.15120706
313,1.7451036e-08
314,0.057380285
315,5.9397976e-08
316,0.9979792
317,1.9639472e-07
318,7.54998e-07
319,2.6610091e-06
320,2.536908e-12
321,2.9644121e-05
322,0.01612812
323,0.99990445
324,0.34409145
325,0.9893613
326,6.101438e-05
327,0.9999945
328,0.9984642
329,0.99994797
330,0.13639614
331,0.005023804
332,0.00141494
333,0.87725836
334,0.9999509
335,7.479042e-10
336,0.033881057
337,0.0022598947
338,6.003114e-11
339,1.5477816e-08
340,8.0582645e-08
341,0.0015658762
342,0.019207848
343,1.4820833e-05
344,0.00013643802
345,0.97771245
346,0.9972059
347,0.9701844
348,0.00038407638
349,9.42492e-05
350,1.04598215e-07
351,4.104126e-08
352,8.490146e-08
353,2.2482763e-18
354,1.7177565e-12
355,3.5529743e-07
356,8.591204e-09
357,0.89797235
358,0.02475359
359,1.2693103e-08
360,5.1152225e-12
361,0.023518484
362,0.999994
363,0.4148253
364,0.99763054
365,5.0375905e-07
366,7.628494e-12
367,0.0089369835
368,0.00024061993
369,5.9611133e-19
370,0.0019651048
371,1.9695986e-07
372,1.8752143e-08
373,4.3519858e-08
374,1.522052e-06
375,7.711832e-06
376,4.081087e-17
377,4.654998e-14
378,0.038555197
379,2.805842e-08
380,5.1834213e-16
381,0.00039676862
382,0.99915737
383,0.9998895
384,0.99999744
385,0.99999857
386,0.07807166
387,0.022734819
388,0.00267592
389,7.5255535e-05
390,0.00030249576
391,0.09829876
392,0.09833557
393,0.0006058225
394,8.971605e-06
395,5.2630487e-05
396,2.926632e-06
397,2.2806917e-10
398,0.9993478
399,7.829979e-05
