,Probability of Belonging to Class 1 (Nebraska)
0,0.96166074
1,0.005808011
2,0.00019116008
3,0.007958199
4,0.95566
5,0.99186915
6,0.7785204
7,0.5153545
8,0.9850281
9,0.10386673
10,0.970562
11,0.9995409
12,0.011818515
13,0.965618
14,0.00058594666
15,0.0030520023
16,0.17030355
17,0.0025791288
18,0.00047424657
19,0.033828683
20,0.023185913
21,0.00043416236
22,9.316991e-05
23,0.04367341
24,0.94359034
25,0.9877422
26,0.846608
27,0.0038564352
28,0.4720945
29,0.76698405
30,6.477912e-05
31,0.9292476
32,0.9806769
33,0.0010496157
34,0.34051448
35,0.92408854
36,2.8808685e-08
37,0.6723669
38,0.0011797358
39,0.010061498
40,4.5290813e-06
41,1.2054501e-06
42,0.00097524264
43,0.026609628
44,0.10820607
45,7.5419143e-10
46,9.776784e-07
47,0.8452063
48,0.35373095
49,0.0061061946
50,0.17497583
51,0.00012861089
52,0.00042369912
53,2.6279411e-05
54,0.99780256
55,0.0030903148
56,0.22273938
57,0.0012051654
58,0.0005737162
59,0.0024175292
60,2.0538582e-09
61,0.0050148154
62,0.27810737
63,0.0010173449
64,0.04041225
65,0.0007387242
66,1.0079342e-05
67,0.8518633
68,0.00020425903
69,0.082062565
70,3.8954445e-07
71,0.008784281
72,9.8133096e-05
73,0.98840487
74,0.95794135
75,0.11301564
76,1.1985275e-06
77,0.0040285517
78,0.34756204
79,0.19480124
80,0.00068181445
81,0.13644277
82,0.31021318
83,0.008898048
84,0.1870739
85,1.035635e-06
86,0.00024015857
87,0.05250477
88,6.8445644e-07
89,0.0011267086
90,0.0006357194
91,1.23825075e-05
92,0.00070250843
93,9.902782e-05
94,1.0583746e-05
95,2.7908715e-07
96,0.99437994
97,0.8527044
98,0.33962625
99,0.9666301
100,0.0010828587
101,0.9602886
102,0.07257456
103,0.8940979
104,0.0009302607
105,0.0004167804
106,0.827742
107,0.03117511
108,0.97869503
109,0.53050107
110,0.05039109
111,0.68837315
112,5.0591473e-09
113,1.4694804e-07
114,4.770805e-07
115,2.7494944e-12
116,3.340944e-06
117,0.00078567944
118,0.3273654
119,0.9999154
120,0.9822449
121,0.4567452
122,0.3441196
123,0.972674
124,0.0025402254
125,0.62836677
126,9.831996e-07
127,0.99812007
128,0.0053720996
129,0.9704672
130,0.9872364
131,0.9997293
132,0.9950688
133,0.22204663
134,0.7268532
135,0.008813161
136,0.980339
137,0.18225238
138,0.00013000777
139,0.00058011356
140,0.0001613446
141,0.010898216
142,0.0018865849
143,0.034460355
144,0.00067547936
145,0.00038049638
146,7.32815e-13
147,0.7708421
148,0.41370398
149,0.00033246353
150,0.9938927
151,0.99974054
152,0.7701841
153,0.99066055
154,0.9031252
155,0.995513
156,0.99407905
157,1.4942237e-06
158,0.0014896613
159,0.26227817
160,0.00013634437
161,0.02220652
162,8.440007e-06
163,6.9401263e-09
164,0.9944446
165,0.09870991
166,0.00029224812
167,0.10870797
168,0.98731214
169,0.10458848
170,1.5074407e-05
171,0.0003375732
172,0.9996618
173,0.8771976
174,0.5068614
175,0.045815904
176,0.11258993
177,0.056592952
178,0.00064247666
179,8.960265e-07
180,0.008245869
181,0.97019833
182,0.9924899
183,0.053375773
184,0.039595224
185,0.69732696
186,0.19607556
187,0.011397152
188,0.9823137
189,0.929854
190,0.9987274
191,0.09218768
192,0.6909846
193,0.98172134
194,0.051632132
195,0.9917316
196,0.9968415
197,0.013523895
198,0.011226772
199,2.9862452e-08
200,0.3466932
201,0.0005585303
202,0.81952167
203,0.0010197413
204,0.8035445
205,0.6922803
206,0.9753699
207,9.116119e-07
208,0.010504946
209,0.011168596
210,0.99383897
211,2.082657e-07
212,0.37836206
213,0.27733937
214,0.06019484
215,6.357462e-05
216,0.9988284
217,0.34691516
218,0.9954036
219,0.89438605
220,0.9808323
221,0.8660162
222,0.9603523
223,0.9996348
224,0.9979466
225,9.207327e-07
226,0.9998141
227,0.9988074
228,0.23037474
229,0.9749999
230,0.21065725
231,0.8543789
232,0.7839549
233,0.814561
234,0.99753827
235,0.5229424
236,0.9878118
237,0.0017173855
238,0.9957512
239,0.20475763
240,0.8968746
241,0.9999413
242,0.99906385
243,0.99879336
244,0.99945694
245,0.9936904
246,0.9569976
247,0.98488986
248,0.9508393
249,0.9232438
250,0.978493
251,0.00046386404
252,0.0023582547
253,2.2762802e-06
254,0.0003302903
255,0.008860498
256,0.00089635025
257,0.00025065953
258,0.00033234528
259,0.8960957
260,0.00019002285
261,0.6771876
262,0.32729194
263,0.9990254
264,0.9795745
265,0.018608479
266,0.18766299
267,0.0004488578
268,6.086016e-07
269,0.0023301502
270,0.00034373216
271,7.5226184e-05
272,0.05655395
273,0.002488573
274,0.0015674628
275,0.9891353
276,0.11415431
277,0.123270206
278,1.2633246e-09
279,3.011912e-05
280,0.9970589
281,0.91094404
282,0.571947
283,0.00055922486
284,0.21733038
285,0.27610373
286,0.97849953
287,0.90714973
288,0.00027111766
289,0.987857
290,0.9979072
291,0.0008487336
292,0.00048002694
293,0.6998549
294,0.1375017
295,0.11197676
296,0.35118037
297,0.0028751325
298,0.9252572
299,0.28797567
300,4.6641085e-07
301,1.2641608e-05
302,0.0013439616
303,0.0029697856
304,9.075835e-06
305,6.0527465e-05
306,6.769856e-05
307,0.007952596
308,0.9254293
309,0.073918894
310,0.9145686
311,3.9022365e-05
312,0.0010240205
313,0.6915366
314,0.83081543
315,0.015919685
316,1.9931862e-07
317,6.023309e-08
318,3.7996393e-05
319,2.5550273e-06
320,0.010852302
321,1.3128869e-07
322,0.050334007
323,0.041209448
324,0.0010893714
325,2.0446018e-06
326,0.025564168
327,0.9887756
328,0.010339003
329,3.414294e-05
330,0.08448841
331,0.19853765
332,0.99677944
333,0.043347284
334,5.54807e-07
335,0.005516068
336,0.97965735
337,0.9980247
338,0.99965394
339,0.978051
340,0.8021271
341,0.00051191944
342,0.08975213
343,2.6292803e-06
344,0.04592804
345,0.99787533
346,0.99408805
347,8.704026e-06
348,1.6993014e-06
349,4.8865517e-05
350,0.00032181895
351,0.9970903
352,0.41933322
353,0.008523105
354,0.005421135
355,0.004764129
356,0.98760617
357,0.9997218
358,0.999002
359,0.00073875656
360,7.4664776e-08
361,0.00041311263
362,0.0015264652
363,1.177822e-09
364,0.9506892
365,0.51832104
366,0.27172077
367,0.000210141
368,0.027564595
369,7.7174e-05
370,1.0288475e-10
371,0.31605732
372,0.9919495
373,0.89647275
374,0.00024150091
375,0.7657895
376,0.16372514
377,0.90180606
378,0.97948474
379,0.0006843742
380,0.0009836265
381,0.04808519
382,0.0029742606
383,0.5601698
384,0.99909455
385,0.6562827
386,1.5341893e-10
387,0.00049103197
388,5.6889816e-11
389,3.2085125e-05
390,0.03881606
391,0.9637031
392,0.9268556
393,0.016543353
394,0.9945674
395,0.99966234
396,0.9997436
397,5.932291e-07
398,7.1926887e-10
399,2.4239349e-05
