,Probability of Belonging to Class 1 (Nebraska)
0,0.99999297
1,0.9999999
2,0.9998016
3,0.9999964
4,0.9999927
5,0.99986017
6,0.9999995
7,0.9963282
8,0.9999998
9,0.9999999
10,0.99999934
11,0.5091038
12,0.9999996
13,0.06381784
14,0.99999654
15,0.9999958
16,0.99999243
17,0.9999764
18,0.9999994
19,0.102476746
20,0.99999994
21,0.9999981
22,0.99999744
23,0.79774886
24,0.69545066
25,0.9996888
26,0.99989825
27,0.008802377
28,0.060409244
29,0.9999989
30,0.9999951
31,0.99868137
32,0.99812746
33,0.9997466
34,5.401214e-06
35,3.2312225e-06
36,0.0011068943
37,0.99999946
38,0.9999998
39,0.9442967
40,0.9999996
41,0.20704958
42,0.0011363016
43,0.12404223
44,0.9999992
45,0.9999639
46,5.9509235e-05
47,0.99999905
48,0.0025934032
49,0.9999995
50,0.10358752
51,0.9998711
52,0.99999845
53,0.003411801
54,1.6920189e-05
55,1.5294381e-05
56,0.0058732647
57,0.9999902
58,0.9999132
59,0.0001045712
60,0.9999991
61,0.99999976
62,0.9999977
63,0.9999992
64,0.9999974
65,4.2671145e-05
66,0.00030285935
67,0.19856547
68,0.99998796
69,0.9097802
70,0.18088342
71,0.9999944
72,0.44206998
73,0.99999934
74,0.9996947
75,0.99999785
76,0.9999977
77,0.99966204
78,0.45106164
79,0.99973273
80,0.9999716
81,0.99999994
82,0.99999857
83,0.8246069
84,0.42711484
85,0.99999946
86,0.9999986
87,0.0067827585
88,0.9999988
89,0.9999997
90,0.9999645
91,0.014817805
92,0.0028998319
93,0.999999
94,0.9999984
95,0.99999976
96,0.99622536
97,0.9999813
98,0.99999976
99,0.9973812
100,0.9999998
101,0.9995463
102,0.03242248
103,0.9999873
104,0.9986517
105,0.999997
106,0.016956147
107,0.9999999
108,0.9999985
109,0.9999734
110,0.9999989
111,0.14954466
112,0.9999996
113,0.12557036
114,0.051739037
115,0.99999964
116,0.029669508
117,0.9999886
118,0.9999985
119,0.9995511
120,0.9998274
121,0.5274066
122,0.1758728
123,0.013049266
124,0.9999882
125,0.9999851
126,0.5778596
127,0.7489315
128,0.99999815
129,0.99999964
130,0.9999652
131,0.25474685
132,0.9999991
133,0.9999936
134,0.9999447
135,0.6077985
136,0.99999946
137,0.9999904
138,0.99997526
139,0.0037222782
140,0.99999446
141,0.0055109747
142,0.95372456
143,0.99999976
144,0.9999976
145,0.99995685
146,0.9999954
147,0.73621917
148,0.8265095
149,0.2235306
150,0.15203191
151,0.13672255
152,0.99999976
153,0.9999998
154,0.99999905
155,0.99996966
156,0.001371635
157,0.0003888516
158,4.290123e-05
159,0.9820425
160,0.9903572
161,0.99998116
162,0.99227476
163,0.9999922
164,0.66094106
165,0.9892545
166,0.012205988
167,0.99999696
168,0.9999987
169,0.9999994
170,0.9983771
171,0.9999741
172,0.9999885
173,0.9979644
174,0.5756743
175,0.12792566
176,0.9999397
177,1.3588593e-07
178,4.3525753e-05
179,0.0054506185
180,0.00053752307
181,0.67085886
182,0.024516553
183,0.0042420826
184,0.00090084487
185,0.996899
186,0.99999976
187,0.9999999
188,0.9999983
189,0.9999986
190,0.9999874
191,0.86372554
192,0.9990255
193,0.9999543
194,0.99995947
195,0.99999845
196,0.99999964
197,0.9999972
198,6.990267e-08
199,3.8401456e-08
200,0.9999999
201,0.99999946
202,0.9959279
203,0.9643204
204,0.9106217
205,0.04759143
206,0.9987991
207,0.9284125
208,0.18953957
209,0.99999803
210,0.054490414
211,0.9995322
212,0.99263734
213,0.99999213
214,0.92870986
215,0.9999997
216,0.99996656
217,0.013403463
218,0.99999845
219,5.604958e-05
220,0.9999988
221,0.99999964
222,0.5247772
223,0.99999905
224,0.99999964
225,0.9999853
226,0.99999756
227,0.8133174
228,0.9996947
229,0.08965247
230,0.99991876
231,0.9999999
232,0.9999973
233,0.9999996
234,0.9999938
235,0.9949128
236,0.006145247
237,0.3788135
238,0.9999509
239,5.9961993e-05
240,0.0008885514
241,0.60397744
242,0.9999918
243,0.99999875
244,0.9981711
245,0.018539935
246,0.993065
247,0.9999479
248,0.9999992
249,0.13681825
250,0.99999106
251,0.0018505441
252,0.20546688
253,0.99974656
254,0.9999522
255,0.9999275
256,0.1594284
257,0.001041503
258,0.50187516
259,0.00030821023
260,0.99999714
261,0.9999744
262,0.99999
263,0.99994326
264,0.0053647365
265,0.99999994
266,0.9999967
267,0.9999998
268,0.9998423
269,0.9999776
270,0.9999749
271,2.7875888e-06
272,0.6074598
273,0.18693283
274,0.999985
275,0.9991229
276,0.9999607
277,0.9999995
278,0.9942482
279,0.35501727
280,0.00058829586
281,0.03366839
282,0.9999994
283,0.15545218
284,0.00942457
285,0.99999887
286,0.99997157
287,0.99995464
288,0.006450932
289,0.9984858
290,0.9999999
291,0.9999999
292,0.9685118
293,0.99272156
294,0.40202844
295,0.914321
296,0.14489542
297,0.115939334
298,0.9792901
299,0.024520647
300,0.99829185
301,0.9996924
302,0.99999815
303,0.9999981
304,0.005285183
305,0.99999857
306,0.9999968
307,0.9999991
308,0.9999482
309,0.99999845
310,0.0021241887
311,0.9924617
312,0.9999993
313,0.13620938
314,0.9999964
315,0.99981034
316,0.00024025062
317,0.9995691
318,0.00018251274
319,0.002032767
320,0.99994797
321,0.29682517
322,0.9999999
323,0.99999964
324,0.9991464
325,0.99999946
326,0.9999969
327,0.9999998
328,0.99999404
329,0.99999994
330,0.9999996
331,0.9999995
332,0.9999994
333,0.9999998
334,0.9999959
335,0.9999788
336,0.054468337
337,0.9581838
338,0.95161855
339,0.9999728
340,0.050813507
341,0.9997869
342,0.055966306
343,0.99985445
344,0.8206135
345,0.99999684
346,0.24253908
347,0.99996406
348,0.9999996
349,0.99999785
350,0.36012238
351,0.9999998
352,0.99999946
353,0.053966217
354,0.99999994
355,0.99928737
356,0.96141344
357,0.00230518
358,0.99996793
359,0.17045167
360,0.9999964
361,0.9992899
362,0.99999654
363,8.371976e-05
364,0.99954253
365,0.999969
366,0.9873634
367,0.999734
368,0.99989927
369,0.1361907
370,0.9999955
371,0.9999998
372,0.99999887
373,0.5298793
374,7.450324e-10
375,0.00039361388
376,0.43026868
377,0.16910224
378,0.20251758
379,0.00026420158
380,0.99999756
381,0.10961152
382,0.089392535
383,0.9999897
384,0.9999948
385,0.8100798
386,0.0025189659
387,0.9999987
388,0.99999976
389,0.9999997
390,0.99999875
391,0.99998426
392,0.0042876545
393,0.9985375
394,0.9999996
395,0.9999995
396,0.9999998
397,0.99997705
398,4.4924386e-06
399,0.004519861
