,Probability of Belonging to Class 1 (Nebraska)
336,0.38635474
337,0.9999813
338,0.9999992
339,0.40091473
340,0.000117487085
341,0.9985024
342,0.9997477
343,2.6889997e-09
344,2.139893e-18
345,2.604463e-10
346,2.3135613e-07
347,0.00011918201
348,5.4539484e-09
349,7.539574e-09
350,1.5382501e-14
351,0.0011670621
352,0.00021578434
353,9.129512e-10
354,7.377741e-13
355,1.3446742e-12
356,5.251533e-06
357,3.3321077e-05
358,2.955484e-05
359,6.281966e-06
360,0.002409979
361,0.9997297
362,0.44568586
363,0.1879687
364,1.6835348e-10
365,3.2627028e-08
366,0.004937126
367,4.5110784e-07
368,8.274934e-06
369,7.656923e-15
370,3.5449335e-05
371,7.52462e-05
372,4.676413e-05
373,4.0508494e-05
374,0.018942816
375,9.80338e-13
376,4.5996538e-05
377,0.0053453827
378,0.07789269
379,7.123856e-05
380,0.000345028
381,7.424544e-15
382,1.7948679e-07
383,2.0324183e-06
384,3.858174e-13
385,5.848987e-10
386,1.0814504e-06
387,2.347865e-06
388,3.082262e-05
389,0.22133526
390,0.0010834762
391,0.00012921938
392,0.011643273
393,0.37757096
394,4.2723225e-12
395,1.1134777e-12
396,1.5369666e-09
397,1.6161202e-07
398,0.009166946
399,2.2577462e-08
