,Probability of Belonging to Class 1 (Nebraska)
0,0.00019946764
1,0.94767475
2,0.9758947
3,0.99924535
4,0.99869263
5,0.9997719
6,0.9932528
7,0.994409
8,0.32063478
9,0.110450536
10,0.9993125
11,0.24721013
12,0.034282878
13,0.8163305
14,0.28155863
15,0.027179535
16,0.0018124966
17,0.5069168
18,0.8910547
19,0.99990547
20,0.9992918
21,0.9961661
22,0.0011003478
23,0.9881464
24,0.01644661
25,0.0125885345
26,0.0051049525
27,0.00085416494
28,0.99963033
29,0.98589635
30,0.07979693
31,0.97858125
32,0.99843615
33,0.99858785
34,0.9555203
35,0.003907929
36,0.99389845
37,0.0046992977
38,0.44532755
39,0.9999816
40,0.9995617
41,0.9988292
42,0.44262755
43,0.19789138
44,0.8422761
45,0.963146
46,6.717239e-05
47,0.01840074
48,0.019194212
49,0.9956966
50,0.9993224
51,0.98293436
52,0.99436593
53,0.9988296
54,0.99560994
55,0.9982324
56,0.99809825
57,0.95055056
58,0.99254864
59,0.99941576
60,0.5062942
61,0.023624077
62,0.99822634
63,0.21478634
64,0.9656894
65,0.0014575184
66,0.9948771
67,0.019248307
68,0.9742002
69,0.99868464
70,0.9999159
71,0.9980824
72,1.9280342e-05
73,0.88593525
74,0.02644361
75,0.24018314
76,7.903888e-06
77,0.016827116
78,0.7740643
79,0.99859345
80,0.9274717
81,0.9821003
82,0.9871981
83,0.9856935
84,0.7434665
85,0.9990835
86,0.9995409
87,0.99915653
88,0.99816465
89,0.98043585
90,0.0012934247
91,0.48922765
92,0.00019434838
93,0.79494005
94,0.9949438
95,0.98498756
96,0.99859375
97,0.9982535
98,0.030923467
99,0.9511877
100,0.00013862515
101,0.99920565
102,0.90939015
103,0.9986555
104,0.910063
105,0.9989594
106,0.97180474
107,0.026300853
108,0.9839087
109,0.08124288
110,0.9979604
111,0.00030258458
112,9.4284434e-05
113,0.87685215
114,0.08509531
115,0.35863936
116,0.9796678
117,0.00047553555
118,0.9664754
119,0.9999062
120,0.99948925
121,0.9466037
122,0.29668507
123,0.034235686
124,0.99725145
125,0.12698168
126,0.99808204
127,0.9896012
128,0.9822587
129,0.8226093
130,0.0010904565
131,0.0019527467
132,0.90734535
133,0.9986651
134,0.9951812
135,0.45076495
136,0.0008609023
137,0.0606817
138,0.14426972
139,0.35591248
140,0.9966484
141,3.167165e-05
142,0.99284154
143,0.9975176
144,0.62743
145,0.99310267
146,0.009501474
147,0.97794515
148,0.99932384
149,0.9978071
150,0.05784853
151,0.43791375
152,0.9978817
153,0.99583715
154,0.99946684
155,0.9978372
156,0.00012289705
157,0.933955
158,0.22704935
159,0.95303565
160,0.9987567
161,5.2739217e-09
162,0.002294162
163,0.028558753
164,0.0002178857
165,0.99900675
166,0.9860032
167,0.68137133
168,0.00049634406
169,0.0033181154
170,0.1532692
171,0.32419398
172,7.3001383e-09
173,0.00016323324
174,0.046020214
175,0.008149089
176,0.9989342
177,0.9999132
178,0.8977136
179,0.99876183
180,0.9997221
181,0.99906033
182,0.13324036
183,0.08715113
184,0.923709
185,7.019688e-05
186,0.0014235115
187,0.003370586
188,0.9847011
189,0.95857394
190,0.91698855
191,0.9809943
192,0.99642485
193,0.98967206
194,0.4004132
195,2.2123313e-06
196,0.0005759507
197,0.8008465
198,0.9871469
199,0.9986315
200,0.99539423
201,0.8315615
202,0.99993545
203,0.99984753
204,0.9986707
205,1.861823e-06
206,6.2182946e-05
207,6.6198813e-06
208,0.97462773
209,0.003185983
210,0.3248317
211,0.00011398242
212,0.13109058
213,0.9922234
214,0.06750958
215,0.049328934
216,0.7845116
217,0.12523876
218,9.2345894e-05
219,0.9995088
220,0.9996027
221,0.9990516
222,0.999348
223,0.99861264
224,0.99689305
225,9.124991e-07
226,0.00012581433
227,0.316913
228,0.9996689
229,0.94294584
230,0.9621185
231,0.004989492
232,0.99932444
233,0.9981952
234,0.15365785
235,0.9844539
236,0.99776447
237,0.9991967
238,0.918618
239,0.4874922
240,0.9870856
241,0.9989713
242,0.999344
243,0.99914104
244,0.9967865
245,0.14352961
246,0.0068073864
247,0.99900824
248,0.9783763
249,0.9946555
250,0.9749263
251,0.0031673082
252,0.99498814
253,0.99418193
254,0.8224717
255,0.99958736
256,0.9992261
257,0.001085708
258,0.69318146
259,0.016614908
260,0.9571793
261,0.9999028
262,0.999342
263,0.993731
264,0.9427389
265,0.053331137
266,0.9991136
267,0.998915
268,0.9996588
269,0.99744827
270,0.99546176
271,0.00554641
272,0.0013915104
273,1.2545113e-06
274,0.16456455
275,0.7246252
276,0.94449437
277,0.19823451
278,0.99783385
279,0.9911321
280,0.98613614
281,0.9998298
282,0.04596763
283,0.0022594484
284,0.9967438
285,0.94712466
286,0.9749117
287,0.9971932
288,0.9995264
289,0.9998194
290,0.9990446
291,0.9984687
292,0.9967721
293,0.04445699
294,0.99840784
295,0.83008236
296,0.9978319
