,Probability of Belonging to Class 1 (Nebraska)
297,0.99955714
298,0.99921227
299,0.83431363
300,0.00034739234
301,0.13473603
302,0.8640269
303,0.12835868
304,0.6144719
305,0.006510241
306,0.9987892
307,0.9726363
308,4.389164e-05
309,0.0090301065
310,3.9211714e-05
311,0.8675783
312,0.08774686
313,0.996074
314,0.88954675
315,0.99713665
316,0.99162173
317,0.4070569
318,0.9854561
319,0.0003592815
320,0.3136809
321,0.16074702
322,0.49443275
323,0.9559596
324,0.3806975
325,0.99742895
326,0.99607605
327,0.93336135
328,0.99108213
329,0.9981999
330,0.9945451
331,0.99898225
332,0.97476023
333,0.9994908
334,0.99955225
335,0.99913716
336,0.07559738
337,0.004562916
338,0.9928079
339,0.999851
340,0.99960446
341,0.9998385
342,0.9499717
343,0.012199831
344,0.9978125
345,0.878736
346,0.99686116
347,0.9790968
348,0.96941775
349,0.9987918
350,0.22146599
351,0.9938276
352,0.9979708
353,0.99656135
354,0.9989188
355,0.9864419
356,0.017717626
357,0.00077875995
358,0.0041065137
359,0.9585559
360,0.9992831
361,0.00027097086
362,0.0021410803
363,0.90333664
364,0.9851601
365,0.98291266
366,0.00011247022
367,0.0034586722
368,0.9962496
369,0.95847756
370,0.98770887
371,0.99223924
372,0.980983
373,0.99965906
374,0.95210165
375,0.99957097
376,0.96072495
377,0.9995742
378,0.9472714
379,0.8133677
380,0.9955908
381,0.99433655
382,0.9917724
383,0.97506815
384,0.98889685
385,0.93336576
386,0.9916198
387,0.0049526086
388,0.9959648
389,0.9883662
390,0.97481114
391,0.97176147
392,0.559484
393,0.98650634
394,0.99934506
395,0.95426625
396,0.9993281
397,0.995032
398,0.18005233
399,0.8091457
