,Probability of Belonging to Class 1 (Nebraska)
0,0.0048385467
1,0.024784513
2,0.000982762
3,0.059260286
4,0.96915203
5,2.8927446e-16
6,9.721245e-10
7,4.6548386e-05
8,1.8505334e-09
9,4.6850994e-09
10,6.4529257e-09
11,1.4771544e-05
12,1.6055577e-05
13,0.08265982
14,0.00019302922
15,0.052104644
16,6.341181e-11
17,3.960133e-06
18,0.019182617
19,5.9590173e-09
20,0.09899124
21,0.0008984888
22,3.287139e-05
23,3.0436922e-07
24,1.6755015e-09
25,1.9279913e-08
26,0.10908171
27,1.1282289e-08
28,1.0499839e-11
29,1.9715944e-07
30,1.8823039e-10
31,0.00045990088
32,5.509669e-08
33,0.9146405
34,0.000105629326
35,7.2590256e-06
36,3.7546476e-11
37,0.00051780546
38,0.0546501
39,0.011305164
40,0.0009131957
41,1.6279564e-08
42,1.2134764e-07
43,4.2321396e-10
44,3.4626697e-09
45,4.779357e-08
46,3.2431441e-13
47,2.2632016e-06
48,3.7699884e-08
49,3.406791e-08
50,0.022421412
51,0.0010776792
52,0.011099673
53,5.9845628e-05
54,6.10066e-07
55,5.4732396e-07
56,0.037094425
57,2.8110498e-11
58,0.016530218
59,0.024010383
60,7.7845445e-13
61,1.9926203e-09
62,1.553351e-11
63,8.554464e-07
64,5.0260496e-10
65,4.997214e-06
66,3.075153e-10
67,2.7669562e-06
68,1.2847627e-05
69,0.00019864259
70,1.2256068e-11
71,1.7599969e-10
72,4.220384e-15
73,2.1208336e-05
74,5.60278e-11
75,0.00046508896
76,5.1937106e-05
77,3.6326026e-07
78,0.04355348
79,0.7879007
80,7.795276e-08
81,1.9890552e-12
82,5.6262808e-09
83,3.0370867e-08
84,1.9651445e-07
85,0.00013572059
86,0.00030092435
87,0.21968208
88,0.0007633171
89,4.0226378e-06
90,0.010984617
91,7.513198e-05
92,1.1983917e-08
93,0.0023186314
94,1.0652741e-06
95,8.6409374e-05
96,5.5461364e-09
97,5.058847e-13
98,7.741584e-05
99,1.3036847e-10
100,2.3913678e-09
101,0.009181865
102,9.161481e-11
103,1.360285e-10
104,1.8333853e-09
105,4.5680937e-12
106,9.606879e-08
107,2.8815611e-08
108,3.4236513e-05
109,4.147912e-12
110,1.269434e-15
111,1.026508e-06
112,8.4469786e-05
113,0.0027172936
114,5.8574317e-12
115,9.3457317e-07
116,1.8131038e-06
117,7.25979e-07
118,1.9947456e-07
119,1.1142194e-05
120,0.014309141
121,1.4557989e-08
122,4.5172902e-10
123,9.000624e-08
124,1.771903e-07
125,8.1579664e-08
126,1.3644022e-08
127,3.5179326e-07
128,5.3935576e-08
129,6.7999263e-06
130,1.2680843e-14
131,0.0010776308
132,0.9230375
133,0.016303588
134,4.055275e-05
135,0.024946436
136,0.083733834
137,1.7230205e-11
138,5.6489844e-06
139,3.510242e-09
140,1.706555e-05
141,1.2297632e-07
142,1.599265e-05
143,8.8931483e-07
144,4.4256925e-15
145,5.0584265e-07
146,1.3982521e-10
147,2.9246511e-08
148,1.6834987e-07
149,0.00045518833
150,4.409356e-06
151,1.3145685e-06
152,4.391148e-05
153,1.5200532e-05
154,8.389868e-09
155,0.0037527082
156,2.0173103e-07
157,6.238228e-11
158,1.2967952e-10
159,2.4525195e-06
160,7.9618636e-05
161,3.3773665e-07
162,0.0005028107
163,1.431666e-08
164,2.8782404e-10
165,0.006213082
166,3.0223162e-06
167,1.7759406e-06
168,0.19787006
169,0.00014728129
170,6.7565304e-18
171,5.9344825e-13
172,6.9031175e-10
173,3.8733194e-09
174,1.0408201e-05
175,7.8510203e-07
176,3.2145642e-12
177,8.665076e-17
178,1.7511628e-07
179,0.0019585218
180,0.93595964
181,9.36716e-10
182,0.0005104319
183,0.0011801689
184,0.95755744
185,4.3929632e-10
186,2.176688e-13
187,1.32059395e-08
188,4.1319003e-05
189,3.7577554e-08
190,6.7330357e-06
191,0.0009561314
192,0.09541883
193,8.7390146e-07
194,0.00028815362
195,8.4923624e-07
196,6.833924e-09
197,7.024281e-08
198,6.210836e-07
199,1.7208761e-07
200,2.8103504e-09
201,1.1901122e-07
202,0.031700194
203,6.846439e-06
204,7.962232e-06
205,4.7046228e-07
206,3.3126103e-08
207,5.2042758e-08
208,2.5832783e-10
209,3.1060748e-07
210,1.7295386e-07
211,3.5661384e-17
212,1.0654651e-08
213,4.5779853e-08
214,1.6875872e-05
215,3.840483e-07
216,0.0018267994
217,1.9113734e-10
218,3.1261514e-08
219,8.6392143e-10
220,1.0160224e-12
221,5.4192528e-20
222,3.9536385e-10
223,5.1459086e-09
224,1.7529834e-08
225,2.9864315e-09
226,2.440414e-12
227,6.553337e-11
228,8.352031e-12
229,1.3040116e-12
230,4.478494e-11
231,1.7996291e-06
232,2.8515215e-09
233,4.442399e-05
234,9.38553e-05
235,2.057849e-05
236,3.1728429e-09
237,2.8916476e-08
238,6.167889e-07
239,0.000520275
240,1.042912e-08
241,5.002891e-11
242,2.2676695e-06
243,1.1634655e-06
244,5.0562863e-11
245,1.036991e-06
246,1.5576323e-07
247,1.4107286e-12
248,0.60921675
249,0.954988
250,0.01558059
251,1.1221895e-05
252,3.527541e-15
253,1.6308304e-05
254,0.0022755591
255,1.7853397e-08
256,4.5427406e-08
257,1.6720249e-09
258,2.8818747e-06
259,1.4963562e-10
260,3.5315196e-07
261,0.007844261
262,9.3876804e-07
263,0.013981409
264,6.732341e-08
265,1.7016657e-17
266,0.0017976348
267,1.8052837e-05
268,3.3050183e-05
269,0.005463569
270,5.2313266e-07
271,0.13199733
272,1.18418155e-08
273,9.503964e-15
274,1.7146274e-08
275,2.0544528e-06
276,3.9592288e-11
277,0.00049713196
278,0.00015731847
279,0.00020267598
280,1.7601968e-08
281,5.8050915e-07
282,0.1626373
283,0.31092176
284,4.6889554e-06
285,5.3302505e-09
286,0.00018640964
287,5.9999e-06
288,4.3295967e-09
289,7.6026144e-11
290,1.7215373e-13
291,0.06675145
292,5.636071e-05
293,4.2079645e-08
294,7.126961e-10
295,2.0082201e-05
296,0.0020044977
297,3.7539496e-09
298,9.041451e-06
299,1.2245565e-07
300,4.905526e-07
301,1.4672266e-10
302,4.930919e-05
303,2.4676903e-05
304,1.2707528e-10
305,5.8569656e-11
306,1.1501231e-09
307,7.2053453e-11
308,5.683154e-16
309,1.9748047e-07
310,2.8254465e-10
311,7.7992795e-15
312,0.00093598495
313,3.8361853e-07
314,0.00028538101
315,5.4465832e-05
316,4.227389e-05
317,3.5318422e-08
318,1.6086384e-05
319,5.102862e-07
320,1.7477072e-05
321,0.99571145
322,0.08885562
323,3.5350881e-06
324,0.99582815
325,0.9992571
326,0.75104773
327,1.1601637e-12
