,Probability of Belonging to Class 1 (Nebraska)
0,0.99892026
1,0.9965097
2,0.999819
3,0.9955184
4,0.9980344
5,0.99971515
6,0.99924046
7,0.99993324
8,0.9996343
9,0.99983
10,0.9981213
11,0.489677
12,0.9999152
13,0.9153224
14,0.008445736
15,0.9775932
16,0.9663082
17,0.9597689
18,0.0004313008
19,0.9932993
20,0.99608684
21,0.9997864
22,0.9999313
23,0.99915606
24,0.98979336
25,0.99261594
26,0.9991993
27,0.99890935
28,0.9974102
29,0.040481687
30,0.99961483
31,0.9966408
32,0.98222035
33,0.008807453
34,0.995448
35,0.9908874
36,0.9909727
37,0.9990931
38,0.36643898
39,0.10595858
40,0.9987113
41,0.7219616
42,0.99949837
43,0.9993623
44,0.9845855
45,0.99746937
46,0.00076042966
47,0.07530825
48,0.6954858
49,0.060944654
50,0.098291226
51,0.99961066
52,0.99991983
53,0.64346534
54,0.99995375
55,0.99944794
56,0.015870836
57,0.99464
58,0.94610065
59,0.99948215
60,0.029071765
61,0.09607709
62,0.9912343
63,0.00022851693
64,0.08798166
65,0.99874264
66,0.6502459
67,0.99206865
68,0.91849464
69,0.99950784
70,0.99907255
71,0.9726825
72,0.15947658
73,0.15369497
74,0.9988712
75,0.9173821
76,0.94907653
77,0.9960006
78,0.9987053
79,0.99976134
80,0.9997287
81,0.9340145
82,0.0017163785
83,0.009725164
84,0.29883137
85,0.98565763
86,0.99990994
87,0.99980396
88,0.99970734
89,0.9981055
90,0.9994851
91,0.9975989
92,0.89445156
93,0.98981047
94,0.9999128
95,0.99546003
96,0.99955314
97,0.97301704
98,0.5654118
99,0.99980664
100,0.9490088
101,0.0070601236
102,0.98908734
103,0.024343977
104,0.7646676
105,0.4399768
106,0.008429242
107,0.00015512388
108,0.86282367
109,0.98796713
110,0.99879974
111,0.00042201474
112,0.6274213
113,0.63121355
114,0.31046054
115,0.9994304
116,0.71337885
117,0.1870687
118,0.89708287
119,0.9446823
120,0.7157294
121,0.18918508
122,0.016759038
123,0.99862456
124,0.9996827
125,0.9873112
126,0.9694218
127,0.014433507
128,0.006622632
129,0.79135054
130,0.99961156
131,0.99977696
132,0.9991578
133,0.02904946
134,0.9876243
135,0.0016688647
136,0.9167299
137,0.99723715
138,0.99965894
139,0.99047
140,0.090812504
141,0.18301126
142,0.1129738
143,0.999391
144,0.94071937
145,0.57673717
146,0.8741644
147,0.85093373
148,0.7992581
149,0.9983254
150,0.9960798
151,0.38620913
152,0.96105975
153,0.685151
154,0.9974606
155,0.99940735
156,0.9987581
157,0.9155927
158,0.011682648
159,0.54703915
160,0.98685235
161,0.85373926
162,0.9898372
163,0.0015464175
164,0.00920699
165,0.39922893
166,0.99824315
167,0.62317234
168,0.87555444
169,0.83217067
170,0.058193125
171,6.828777e-09
172,0.4744947
173,0.0016917009
174,0.35506067
175,0.997487
176,0.9914366
177,0.042334065
178,0.0009772899
179,1.9995124e-08
180,0.9998457
181,0.3177277
182,0.8984415
183,0.0095669385
184,0.0559982
185,0.997622
186,0.9980039
187,0.9973075
188,0.002826845
189,0.024103899
190,0.99815655
191,0.9999482
192,0.9999917
193,0.99241287
194,0.9967271
195,0.99721503
196,0.998918
197,5.6297506e-07
198,0.0001908978
199,0.07079198
200,0.99895114
201,9.853292e-05
202,0.0033774197
203,0.02446069
204,0.022444753
205,0.9253295
206,0.013549097
207,0.023975803
208,0.85827136
209,0.98109806
210,0.0026475554
211,0.9965039
212,0.99873483
213,0.9994048
214,0.99808466
215,0.999987
216,0.99119306
217,0.017067103
218,0.9474024
219,0.95072204
220,0.9973794
221,0.9952922
222,0.99981636
223,0.99850994
224,0.0076244497
225,0.24084169
226,0.00016226507
227,0.002128348
228,0.8144477
229,0.013172383
230,0.9994288
231,0.994917
232,0.9993244
233,0.99827135
234,0.99791384
235,0.99585193
236,0.897822
237,0.9986238
238,0.9999289
239,0.9960694
240,0.8833632
241,0.9994761
242,0.9973203
243,0.9996338
244,0.9997449
245,0.05122816
246,0.99213815
247,0.99847853
248,0.9988802
249,0.9991151
250,0.9180376
251,0.67575073
252,0.9910681
253,0.99757296
254,0.9341393
255,0.99718076
256,0.840234
257,0.9966486
258,0.99916637
259,0.9979975
260,0.97520816
261,0.9411495
262,0.96420854
263,0.9989263
264,0.9899146
265,0.9960642
266,0.99892354
267,0.98323625
268,0.40679118
269,0.9989623
270,0.7869359
271,0.97402555
272,0.9911438
273,0.99479073
274,0.99282783
275,0.99676895
276,0.5752598
277,0.9994679
278,0.99844074
279,0.9810116
280,0.31548494
281,0.95925444
282,0.9940364
283,0.99757314
284,0.9985581
285,0.9706294
286,0.99516237
287,0.99418926
288,0.9983442
289,0.96238995
290,0.9989642
291,0.99415284
292,0.9937932
293,0.9960024
294,0.002744919
295,0.35715103
296,0.998845
297,0.9949035
298,0.99801785
299,0.997335
300,0.981805
301,0.99665004
302,0.00032970638
303,1.4134852e-05
304,0.0066849873
305,0.028548213
306,0.6583253
307,0.9961631
308,0.9904968
309,0.9977051
310,0.91965663
311,0.99349153
312,0.45626763
313,0.9939237
314,0.9985656
315,0.0013128095
316,0.9724228
317,0.36984998
318,0.98625666
319,0.9488521
320,0.9985792
321,0.9954385
322,0.9098009
323,0.3057994
324,0.9829671
325,0.99983346
326,0.99758863
327,0.99017495
328,0.9975712
329,0.99466354
330,0.8855717
331,0.9699323
332,0.988437
333,0.46048895
334,0.9922706
335,0.99253154
336,0.0011367162
337,0.5155873
338,0.9988062
339,0.99565315
340,0.8552075
341,0.9932801
342,0.8757661
343,0.0048289676
344,0.99399185
345,0.99585295
346,0.99788934
347,0.77350914
348,0.9991038
349,0.013163276
350,0.9482425
351,0.7313385
352,0.98913115
353,0.48126727
354,0.9989913
355,0.9552911
356,0.98746276
357,0.22694017
358,0.82220715
359,0.99627393
360,0.9976841
361,0.9980417
362,0.9982334
363,0.87470144
364,0.99895865
365,0.025225004
366,0.0642968
367,0.95966446
368,0.9560009
369,0.20229971
370,0.9954778
371,0.99784535
372,0.98238796
373,0.99777275
374,0.99813837
375,0.996877
376,0.99956733
377,0.26578873
378,0.00029004578
379,3.503181e-08
380,0.9973469
381,0.9978005
382,0.99217826
383,0.95284015
384,0.99938655
385,0.9960288
386,0.98662394
387,0.99958795
388,0.999635
389,0.99964726
390,0.9997263
391,0.8454914
392,0.99690044
393,0.58391064
394,0.06734785
395,0.98705006
396,0.9992468
397,0.95809054
398,0.96400255
399,0.98519856
